datetime,open,high,low,close,volume
2024-06-25 12:00:00-04:00,19959.25,19968.0,19856.0,19874.25,0
2024-06-25 13:00:00-04:00,19874.25,19931.75,19837.75,19924.25,48253
2024-06-25 14:00:00-04:00,19924.5,19965.75,19916.0,19949.75,43256
2024-06-25 15:00:00-04:00,19949.5,19981.25,19933.75,19966.75,58478
2024-06-25 16:00:00-04:00,19967.0,19973.5,19955.25,19970.5,13675
2024-06-25 18:00:00-04:00,19973.0,19987.75,19966.5,19976.75,0
2024-06-25 19:00:00-04:00,19977.25,19977.75,19963.5,19966.25,2352
2024-06-25 20:00:00-04:00,19966.75,19992.25,19964.0,19989.75,4682
2024-06-25 21:00:00-04:00,19989.75,20003.5,19986.5,19999.5,4575
2024-06-25 22:00:00-04:00,19999.0,20006.0,19995.5,19998.5,2942
2024-06-25 23:00:00-04:00,19998.25,20008.5,19981.25,19990.25,3459
2024-06-26 00:00:00-04:00,19990.75,19999.0,19981.75,19991.75,2178
2024-06-26 01:00:00-04:00,19992.0,20016.75,19991.75,20014.25,3518
2024-06-26 02:00:00-04:00,20014.75,20023.25,20005.25,20010.5,4278
2024-06-26 03:00:00-04:00,20010.25,20069.25,19993.5,20067.75,12209
2024-06-26 04:00:00-04:00,20067.5,20070.5,20043.75,20047.0,7117
2024-06-26 05:00:00-04:00,20046.75,20049.25,20022.0,20022.75,7280
2024-06-26 06:00:00-04:00,20022.0,20026.25,19992.0,19997.5,9576
2024-06-26 07:00:00-04:00,19997.5,20009.5,19980.75,19999.5,9857
2024-06-26 08:00:00-04:00,19999.0,19999.0,19930.25,19935.0,18858
2024-06-26 09:00:00-04:00,19934.0,19999.75,19901.0,19972.0,83846
2024-06-26 10:00:00-04:00,19970.5,20024.0,19944.5,19974.75,87243
2024-06-26 11:00:00-04:00,19974.75,20028.0,19912.0,20019.0,84762
2024-06-26 12:00:00-04:00,20019.0,20020.75,19944.25,19974.0,49424
2024-06-26 13:00:00-04:00,19974.0,19990.75,19935.25,19984.5,41119
