datetime,trade_pnl,equity,equity_smooth
2026-03-03 09:47:00-05:00,-1.5,27645.5,27676.5
2026-03-03 11:05:00-05:00,-1.5,27644.0,27644.8
2026-03-04 09:33:00-05:00,22.0,27666.0,27635.9
2026-03-04 09:49:00-05:00,-44.5,27621.5,27610.7
2026-03-05 09:32:00-05:00,-19.0,27602.5,27592.7
2026-03-05 09:48:00-05:00,-83.0,27519.5,27567.9
2026-03-05 10:51:00-05:00,34.5,27554.0,27549.5
2026-03-05 10:54:00-05:00,-12.0,27542.0,27533.6
2026-03-05 11:00:00-05:00,-12.5,27529.5,27543.4
2026-03-05 12:04:00-05:00,-6.5,27523.0,27540.3
2026-03-05 15:26:00-05:00,45.5,27568.5,27537.6
2026-03-05 15:33:00-05:00,-30.0,27538.5,27526.9
2026-03-05 15:35:00-05:00,-10.0,27528.5,27499.2
2026-03-05 15:50:00-05:00,-52.5,27476.0,27436.9
2026-03-06 09:33:00-05:00,-91.5,27384.5,27373.2
2026-03-06 09:39:00-05:00,-127.5,27257.0,27303.8
2026-03-06 09:49:00-05:00,-37.0,27220.0,27237.0
2026-03-06 09:51:00-05:00,-38.5,27181.5,27166.4
2026-03-06 10:00:00-05:00,-39.5,27142.0,27113.7
2026-03-06 10:12:00-05:00,-110.5,27031.5,27062.5
2026-03-06 12:49:00-05:00,-38.0,26993.5,27013.5
2026-03-06 14:27:00-05:00,-29.5,26964.0,26967.8
2026-03-06 14:53:00-05:00,-27.5,26936.5,26973.6
2026-03-06 14:55:00-05:00,-23.0,26913.5,26992.1
2026-03-06 16:00:00-05:00,147.0,27060.5,27006.0
2026-03-09 09:33:00-04:00,25.5,27086.0,27020.8
2026-03-09 09:36:00-04:00,-52.5,27033.5,27034.6
2026-03-09 10:04:00-04:00,-23.0,27010.5,27018.7
2026-03-09 10:21:00-04:00,-28.0,26982.5,26991.1
2026-03-09 10:23:00-04:00,-1.5,26981.0,26971.6
2026-03-10 09:32:00-04:00,-33.0,26948.0,26942.2
2026-03-10 09:45:00-04:00,-12.0,26936.0,26909.0
2026-03-10 09:47:00-04:00,-72.5,26863.5,26871.2
2026-03-10 09:49:00-04:00,-47.0,26816.5,26830.0
2026-03-10 10:23:00-04:00,-24.5,26792.0,26786.0
2026-03-10 14:27:00-04:00,-50.0,26742.0,26748.4
2026-03-10 14:32:00-04:00,-26.0,26716.0,26754.2
2026-03-10 14:38:00-04:00,-40.5,26675.5,26763.1
2026-03-10 16:00:00-04:00,170.0,26845.5,26775.1
2026-03-11 09:33:00-04:00,-9.0,26836.5,26777.2
2026-03-11 09:46:00-04:00,-34.5,26802.0,26781.9
2026-03-11 09:59:00-04:00,-75.5,26726.5,26740.1
2026-03-11 10:14:00-04:00,-27.5,26699.0,26701.4
2026-03-11 10:19:00-04:00,-62.5,26636.5,26661.4
2026-03-11 10:59:00-04:00,6.5,26643.0,26632.4
2026-03-11 11:01:00-04:00,-41.0,26602.0,26623.5
2026-03-11 11:05:00-04:00,-20.5,26581.5,26616.2
2026-03-11 13:01:00-04:00,73.0,26654.5,26633.5
2026-03-11 13:08:00-04:00,-54.5,26600.0,26662.0
2026-03-11 16:00:00-04:00,129.5,26729.5,26708.8
2026-03-12 09:33:00-04:00,15.0,26744.5,26732.7
2026-03-12 10:13:00-04:00,71.0,26815.5,26782.9
2026-03-12 10:15:00-04:00,-41.5,26774.0,26798.8
2026-03-12 11:40:00-04:00,77.0,26851.0,26793.5
2026-03-12 11:42:00-04:00,-42.0,26809.0,26762.3
2026-03-12 11:55:00-04:00,-91.0,26718.0,26709.5
2026-03-12 12:04:00-04:00,-58.5,26659.5,26627.9
2026-03-12 12:16:00-04:00,-149.5,26510.0,26534.2
2026-03-12 12:34:00-04:00,-67.0,26443.0,26443.0
2026-03-12 12:51:00-04:00,-102.5,26340.5,26355.6
2026-03-12 13:05:00-04:00,-78.5,26262.0,26284.3
2026-03-12 13:23:00-04:00,-39.5,26222.5,26264.8
2026-03-12 13:36:00-04:00,-69.0,26153.5,26265.5
2026-03-12 16:00:00-04:00,192.0,26345.5,26285.0
2026-03-13 09:32:00-04:00,-1.5,26344.0,26303.1
2026-03-13 09:38:00-04:00,15.5,26359.5,26324.1
2026-03-13 10:07:00-04:00,-46.5,26313.0,26404.9
2026-03-13 10:32:00-04:00,-54.5,26258.5,26465.0
2026-03-13 16:00:00-04:00,491.0,26749.5,26518.8
2026-03-16 09:46:00-04:00,-105.0,26644.5,26577.3
2026-03-16 11:01:00-04:00,-16.0,26628.5,26637.6
2026-03-16 11:14:00-04:00,-23.0,26605.5,26600.0
2026-03-16 12:08:00-04:00,-45.5,26560.0,26554.3
2026-03-16 12:53:00-04:00,1.5,26561.5,26502.3
2026-03-16 13:01:00-04:00,-145.5,26416.0,26453.4
2026-03-16 14:05:00-04:00,-47.5,26368.5,26410.5
2026-03-16 15:08:00-04:00,-7.5,26361.0,26370.8
2026-03-16 15:23:00-04:00,-15.5,26345.5,26353.3
2026-03-16 16:00:00-04:00,17.5,26363.0,26338.6
2026-03-17 10:06:00-04:00,-34.5,26328.5,26324.8
2026-03-17 10:21:00-04:00,-33.5,26295.0,26307.8
2026-03-17 10:28:00-04:00,-3.0,26292.0,26272.6
2026-03-17 10:33:00-04:00,-31.5,26260.5,26257.4
2026-03-17 10:43:00-04:00,-73.5,26187.0,26243.6
2026-03-17 13:04:00-04:00,65.5,26252.5,26223.7
2026-03-17 13:54:00-04:00,-26.5,26226.0,26233.8
2026-03-17 14:03:00-04:00,-33.5,26192.5,26244.5
2026-03-17 16:00:00-04:00,118.5,26311.0,26232.4
2026-03-18 09:33:00-04:00,-70.5,26240.5,26218.1
2026-03-18 09:53:00-04:00,-48.5,26192.0,26204.5
2026-03-18 09:59:00-04:00,-37.5,26154.5,26169.8
2026-03-18 10:07:00-04:00,-30.0,26124.5,26144.7
2026-03-18 11:07:00-04:00,13.0,26137.5,26122.8
2026-03-18 11:34:00-04:00,-22.5,26115.0,26103.3
2026-03-18 11:39:00-04:00,-32.5,26082.5,26079.6
2026-03-18 11:55:00-04:00,-25.5,26057.0,26041.4
2026-03-18 14:01:00-04:00,-51.0,26006.0,26099.7
2026-03-18 14:05:00-04:00,-59.5,25946.5,26159.0
2026-03-18 16:00:00-04:00,460.0,26406.5,26211.8
2026-03-19 09:38:00-04:00,-27.5,26379.0,26269.5
2026-03-19 10:32:00-04:00,-58.0,26321.0,26335.6
2026-03-19 11:59:00-04:00,-26.5,26294.5,26298.3
2026-03-19 12:22:00-04:00,-17.5,26277.0,26258.7
2026-03-19 12:28:00-04:00,-57.0,26220.0,26220.5
2026-03-19 12:39:00-04:00,-39.0,26181.0,26182.5
2026-03-19 13:28:00-04:00,-51.0,26130.0,26132.3
2026-03-19 13:31:00-04:00,-25.5,26104.5,26089.4
2026-03-19 13:53:00-04:00,-78.5,26026.0,26048.8
2026-03-19 14:09:00-04:00,-20.5,26005.5,26012.9
2026-03-19 14:11:00-04:00,-27.5,25978.0,25978.8
2026-03-19 14:33:00-04:00,-27.5,25950.5,25934.9
2026-03-19 14:35:00-04:00,-16.5,25934.0,25885.3
2026-03-19 14:57:00-04:00,-127.5,25806.5,25855.1
2026-03-20 09:42:00-04:00,-49.0,25757.5,25812.0
2026-03-20 11:24:00-04:00,69.5,25827.0,25769.7
2026-03-20 11:59:00-04:00,-92.0,25735.0,25907.6
2026-03-20 12:01:00-04:00,-12.5,25722.5,26038.2
2026-03-20 16:00:00-04:00,773.5,26496.0,26174.0
2026-03-23 09:37:00-04:00,-85.5,26410.5,26318.3
2026-03-23 14:36:00-04:00,95.5,26506.0,26456.8
2026-03-23 14:47:00-04:00,-49.5,26456.5,26522.9
2026-03-23 14:59:00-04:00,-41.5,26415.0,26586.2
2026-03-23 16:00:00-04:00,411.5,26826.5,26642.7
2026-03-24 09:32:00-04:00,-99.5,26727.0,26696.1
2026-03-24 10:00:00-04:00,61.5,26788.5,26741.8
2026-03-24 10:19:00-04:00,-65.0,26723.5,26698.0
2026-03-24 10:28:00-04:00,-80.0,26643.5,26662.1
2026-03-24 10:34:00-04:00,-36.0,26607.5,26607.7
2026-03-24 10:41:00-04:00,-60.0,26547.5,26551.3
2026-03-24 12:43:00-04:00,-31.0,26516.5,26488.0
2026-03-24 14:01:00-04:00,-75.0,26441.5,26429.2
2026-03-24 14:28:00-04:00,-114.5,26327.0,26369.3
2026-03-24 14:30:00-04:00,-13.5,26313.5,26360.9
2026-03-24 14:32:00-04:00,-65.5,26248.0,26361.6
2026-03-24 16:00:00-04:00,226.5,26474.5,26390.7
2026-03-25 09:32:00-04:00,-29.5,26445.0,26429.2
2026-03-25 10:13:00-04:00,27.5,26472.5,26478.1
2026-03-25 11:31:00-04:00,33.5,26506.0,26472.1
2026-03-25 12:26:00-04:00,-13.5,26492.5,26463.5
2026-03-25 12:32:00-04:00,-48.0,26444.5,26437.1
2026-03-25 12:54:00-04:00,-42.5,26402.0,26399.9
2026-03-25 13:26:00-04:00,-61.5,26340.5,26362.9
2026-03-25 13:57:00-04:00,-20.5,26320.0,26368.0
2026-03-25 14:11:00-04:00,-12.5,26307.5,26375.6
2026-03-25 16:00:00-04:00,162.5,26470.0,26385.6
2026-03-26 09:35:00-04:00,-30.0,26440.0,26394.3
2026-03-26 09:38:00-04:00,-49.5,26390.5,26401.2
2026-03-26 09:43:00-04:00,-27.0,26363.5,26516.2
2026-03-26 10:40:00-04:00,-21.5,26342.0,26643.0
2026-03-26 16:00:00-04:00,703.0,27045.0,26767.5
2026-03-27 09:39:00-04:00,29.0,27074.0,26893.3
2026-03-27 09:46:00-04:00,-61.0,27013.0,27016.2
2026-03-27 10:18:00-04:00,-20.5,26992.5,26998.5
2026-03-27 10:21:00-04:00,-36.0,26956.5,26952.9
2026-03-27 11:04:00-04:00,0.0,26956.5,26911.8
2026-03-27 11:24:00-04:00,-110.5,26846.0,27048.7
