datetime,trade_pnl,equity,equity_smooth
2026-01-20 09:32:00-0500,-65.0,24935.0,24811.5
2026-01-20 09:34:00-0500,-128.0,24807.0,24760.25
2026-01-20 09:37:00-0500,-114.5,24692.5,24709.2
2026-01-20 09:39:00-0500,-86.0,24606.5,24613.7
2026-01-20 09:41:00-0500,-101.5,24505.0,24539.7
2026-01-20 09:43:00-0500,-47.5,24457.5,24477.4
2026-01-20 09:47:00-0500,-20.5,24437.0,24418.7
2026-01-20 09:50:00-0500,-56.0,24381.0,24377.8
2026-01-20 10:01:00-0500,-68.0,24313.0,24336.9
2026-01-20 10:06:00-0500,-12.5,24300.5,24275.0
2026-01-20 10:08:00-0500,-47.5,24253.0,24221.5
2026-01-20 10:22:00-0500,-125.5,24127.5,24173.1
2026-01-20 12:22:00-0500,-14.0,24113.5,24287.7
2026-01-20 12:25:00-0500,-42.5,24071.0,24396.6
2026-01-20 16:00:00-0500,802.5,24873.5,24518.4
2026-01-21 09:32:00-0500,-76.0,24797.5,24619.2
2026-01-21 09:38:00-0500,-61.0,24736.5,24704.8
2026-01-21 09:41:00-0500,-119.0,24617.5,24683.3
2026-01-21 09:44:00-0500,-118.5,24499.0,24693.7
2026-01-21 11:40:00-0500,267.0,24766.0,24713.7
2026-01-21 13:52:00-0500,83.5,24849.5,24723.8
2026-01-21 14:02:00-0500,-13.0,24836.5,24783.0
2026-01-21 14:28:00-0500,-168.5,24668.0,24785.4
2026-01-21 16:00:00-0500,127.0,24795.0,24770.5
2026-01-22 09:33:00-0500,-17.0,24778.0,24751.9
2026-01-22 09:38:00-0500,-3.0,24775.0,24789.8
2026-01-22 09:41:00-0500,-31.5,24743.5,24795.2
2026-01-22 10:34:00-0500,114.0,24857.5,24811.9
2026-01-22 11:00:00-0500,-35.5,24822.0,24817.2
2026-01-22 15:00:00-0500,39.5,24861.5,24819.3
2026-01-22 15:03:00-0500,-60.0,24801.5,24790.9
2026-01-22 15:07:00-0500,-47.5,24754.0,24748.9
