datetime,open,high,low,close,volume
2026-04-15 00:05:00-04:00,26018.0,26020.5,26018.0,26019.75,0
2026-04-15 00:10:00-04:00,26019.75,26022.5,26018.5,26020.5,93
2026-04-15 00:15:00-04:00,26021.0,26025.5,26020.0,26024.25,141
2026-04-15 00:20:00-04:00,26023.5,26024.25,26021.0,26021.5,124
2026-04-15 00:25:00-04:00,26022.0,26025.0,26020.75,26023.25,101
2026-04-15 00:30:00-04:00,26024.0,26025.0,26020.75,26021.75,114
2026-04-15 00:35:00-04:00,26022.25,26025.25,26017.75,26019.75,188
2026-04-15 00:40:00-04:00,26019.25,26021.5,26018.0,26019.25,98
2026-04-15 00:45:00-04:00,26019.25,26021.0,26010.5,26017.5,288
2026-04-15 00:50:00-04:00,26016.5,26018.25,26012.5,26013.0,215
2026-04-15 00:55:00-04:00,26012.0,26014.75,26009.75,26014.0,201
2026-04-15 01:00:00-04:00,26014.0,26058.0,26004.0,26009.0,2846
2026-04-15 01:05:00-04:00,26008.75,26015.5,25999.0,26010.5,678
2026-04-15 01:10:00-04:00,26010.5,26020.75,26004.0,26009.5,512
2026-04-15 01:15:00-04:00,26009.5,26010.5,26004.5,26007.75,200
2026-04-15 01:20:00-04:00,26008.0,26008.0,25982.5,25983.0,815
2026-04-15 01:25:00-04:00,25982.75,25988.25,25978.75,25986.75,542
2026-04-15 01:30:00-04:00,25987.25,25988.25,25977.5,25984.0,623
2026-04-15 01:35:00-04:00,25984.0,25985.0,25974.0,25981.25,462
2026-04-15 01:40:00-04:00,25981.75,25985.5,25967.0,25971.25,632
2026-04-15 01:45:00-04:00,25971.5,25974.75,25966.5,25971.0,416
2026-04-15 01:50:00-04:00,25971.25,25973.5,25966.0,25969.25,573
2026-04-15 01:55:00-04:00,25969.0,25981.5,25969.0,25978.5,436
2026-04-15 02:00:00-04:00,25979.0,25989.5,25975.25,25978.0,667
2026-04-15 02:05:00-04:00,25978.25,25982.0,25970.5,25975.0,415
2026-04-15 02:10:00-04:00,25973.0,25978.0,25972.75,25973.5,190
2026-04-15 02:15:00-04:00,25973.25,25981.25,25968.0,25978.75,359
2026-04-15 02:20:00-04:00,25981.0,25981.0,25976.25,25977.25,156
2026-04-15 02:25:00-04:00,25978.5,25983.75,25978.0,25983.0,166
2026-04-15 02:30:00-04:00,25982.0,25993.25,25981.5,25987.25,448
2026-04-15 02:35:00-04:00,25986.75,25998.0,25985.25,25992.5,378
2026-04-15 02:40:00-04:00,25992.5,25996.75,25991.5,25996.75,226
2026-04-15 02:45:00-04:00,25997.25,25997.75,25989.5,25993.75,272
2026-04-15 02:50:00-04:00,25993.5,25997.25,25983.0,25994.75,456
2026-04-15 02:55:00-04:00,25994.25,25994.25,25984.25,25988.0,306
2026-04-15 03:00:00-04:00,25988.5,25995.0,25981.5,25992.5,645
2026-04-15 03:05:00-04:00,25993.0,25999.0,25989.5,25995.5,383
2026-04-15 03:10:00-04:00,25995.0,25999.0,25990.75,25992.75,355
2026-04-15 03:15:00-04:00,25993.0,25993.75,25977.0,25980.75,681
2026-04-15 03:20:00-04:00,25980.5,25992.0,25980.0,25983.5,378
2026-04-15 03:25:00-04:00,25983.0,25989.75,25981.5,25987.0,239
2026-04-15 03:30:00-04:00,25987.5,25995.0,25986.0,25990.25,283
2026-04-15 03:35:00-04:00,25992.25,25999.0,25991.5,25996.5,549
2026-04-15 03:40:00-04:00,25997.25,26005.0,25994.5,25998.5,544
2026-04-15 03:45:00-04:00,25997.75,26008.5,25970.5,26006.5,1288
2026-04-15 03:50:00-04:00,26006.75,26009.25,25996.0,26000.0,578
2026-04-15 03:55:00-04:00,25999.25,26005.0,25989.75,26004.75,328
2026-04-15 04:00:00-04:00,26004.5,26015.0,26003.5,26011.75,671
2026-04-15 04:05:00-04:00,26009.75,26015.0,26007.5,26007.5,450
2026-04-15 04:10:00-04:00,26007.0,26013.75,26001.5,26010.0,404
2026-04-15 04:15:00-04:00,26011.0,26013.0,26000.0,26005.0,570
2026-04-15 04:20:00-04:00,26005.5,26013.25,26004.5,26012.25,226
2026-04-15 04:25:00-04:00,26013.0,26024.5,26012.5,26022.75,809
2026-04-15 04:30:00-04:00,26022.5,26028.5,26019.25,26025.75,430
2026-04-15 04:35:00-04:00,26025.25,26028.5,26021.5,26023.75,336
2026-04-15 04:40:00-04:00,26023.75,26030.5,26022.25,26024.5,303
2026-04-15 04:45:00-04:00,26023.25,26027.5,26019.75,26025.75,250
2026-04-15 04:50:00-04:00,26025.75,26033.25,26019.75,26032.0,333
2026-04-15 04:55:00-04:00,26032.75,26038.0,26028.75,26032.0,372
2026-04-15 05:00:00-04:00,26032.0,26038.25,26011.75,26016.25,1119
2026-04-15 05:05:00-04:00,26015.75,26015.75,26000.75,26004.5,662
2026-04-15 05:10:00-04:00,26004.0,26010.75,25987.75,25993.0,1212
2026-04-15 05:15:00-04:00,25993.0,25996.5,25987.0,25995.0,457
2026-04-15 05:20:00-04:00,25994.75,26002.25,25990.25,25998.0,474
2026-04-15 05:25:00-04:00,25998.5,25999.0,25982.75,25991.0,592
2026-04-15 05:30:00-04:00,25990.5,25998.5,25988.75,25994.25,315
2026-04-15 05:35:00-04:00,25995.25,25995.75,25978.75,25982.25,331
2026-04-15 05:40:00-04:00,25982.5,25990.75,25982.5,25982.75,285
2026-04-15 05:45:00-04:00,25982.25,25990.0,25980.75,25980.75,360
2026-04-15 05:50:00-04:00,25981.0,25987.25,25980.0,25985.25,217
2026-04-15 05:55:00-04:00,25985.0,25988.0,25975.0,25978.25,415
2026-04-15 06:00:00-04:00,25978.75,25985.0,25973.75,25977.5,402
2026-04-15 06:05:00-04:00,25977.5,25998.5,25976.0,25996.5,679
2026-04-15 06:10:00-04:00,25995.5,25997.25,25982.0,25984.75,600
2026-04-15 06:15:00-04:00,25983.75,25985.0,25959.75,25969.25,1815
2026-04-15 06:20:00-04:00,25969.25,25976.5,25950.5,25952.5,1240
2026-04-15 06:25:00-04:00,25953.0,25958.5,25940.5,25949.0,1221
2026-04-15 06:30:00-04:00,25949.25,25961.0,25933.75,25941.25,1290
2026-04-15 06:35:00-04:00,25940.75,25956.0,25937.0,25952.75,575
2026-04-15 06:40:00-04:00,25953.75,25979.75,25952.25,25979.0,1474
2026-04-15 06:45:00-04:00,25979.25,25986.0,25973.75,25979.5,938
2026-04-15 06:50:00-04:00,25979.75,25984.0,25972.0,25981.25,490
2026-04-15 06:55:00-04:00,25980.0,25989.25,25974.75,25985.25,543
2026-04-15 07:00:00-04:00,25985.5,25991.75,25982.75,25986.5,582
2026-04-15 07:05:00-04:00,25987.5,25989.75,25978.5,25988.0,461
2026-04-15 07:10:00-04:00,25987.25,25999.75,25987.25,25996.5,739
2026-04-15 07:15:00-04:00,25996.75,25999.0,25979.75,25980.75,694
2026-04-15 07:20:00-04:00,25980.75,25988.25,25972.5,25987.5,872
2026-04-15 07:25:00-04:00,25986.75,25995.25,25978.5,25980.5,989
2026-04-15 07:30:00-04:00,25979.75,26006.25,25977.5,25983.75,1266
2026-04-15 07:35:00-04:00,25984.75,25997.75,25981.5,25994.0,478
2026-04-15 07:40:00-04:00,25994.25,25995.25,25985.75,25988.75,528
2026-04-15 07:45:00-04:00,25989.0,26048.0,25980.0,26001.5,2570
2026-04-15 07:50:00-04:00,26001.0,26003.75,25991.25,25997.75,683
2026-04-15 07:55:00-04:00,25999.25,26008.5,25995.0,25998.25,871
2026-04-15 08:00:00-04:00,25998.5,26006.25,25977.75,25986.25,1522
2026-04-15 08:05:00-04:00,25985.0,25989.75,25968.25,25983.25,1598
2026-04-15 08:10:00-04:00,25983.0,25985.75,25964.25,25966.0,683
2026-04-15 08:15:00-04:00,25965.5,25978.5,25960.5,25972.0,787
2026-04-15 08:20:00-04:00,25971.5,25981.5,25967.75,25980.75,683
2026-04-15 08:25:00-04:00,25980.25,25981.0,25967.75,25975.0,860
2026-04-15 08:30:00-04:00,25974.5,25988.75,25970.0,25986.5,724
2026-04-15 08:35:00-04:00,25984.75,25997.5,25982.25,25996.25,947
2026-04-15 08:40:00-04:00,25996.75,26007.25,25992.75,26002.75,1276
2026-04-15 08:45:00-04:00,26002.25,26006.25,25990.0,25998.0,947
2026-04-15 08:50:00-04:00,25997.25,26001.75,25990.0,25997.25,670
2026-04-15 08:55:00-04:00,25997.75,26002.5,25988.75,25990.0,463
2026-04-15 09:00:00-04:00,25990.0,25993.25,25979.0,25991.0,1117
2026-04-15 09:05:00-04:00,25990.75,25992.5,25982.0,25987.0,1039
2026-04-15 09:10:00-04:00,25986.75,26000.5,25985.75,25998.0,977
2026-04-15 09:15:00-04:00,25997.75,26004.0,25991.0,26000.5,918
2026-04-15 09:20:00-04:00,26000.75,26007.25,25991.25,25993.25,1273
2026-04-15 09:25:00-04:00,25992.75,26026.0,25992.5,26023.75,3749
2026-04-15 09:30:00-04:00,26023.5,26040.5,25995.25,26019.5,13092
2026-04-15 09:35:00-04:00,26019.0,26054.25,26009.25,26051.5,9389
2026-04-15 09:40:00-04:00,26051.75,26059.75,25982.25,25989.0,10590
2026-04-15 09:45:00-04:00,25990.0,26050.0,25990.0,26037.25,8660
2026-04-15 09:50:00-04:00,26038.25,26062.25,26025.5,26045.5,6926
2026-04-15 09:55:00-04:00,26044.5,26072.25,26043.75,26068.5,5329
2026-04-15 10:00:00-04:00,26069.25,26085.5,26048.5,26074.5,6390
2026-04-15 10:05:00-04:00,26074.5,26081.5,26055.0,26067.25,4644
2026-04-15 10:10:00-04:00,26067.5,26093.0,26059.25,26090.75,4770
2026-04-15 10:15:00-04:00,26090.5,26108.0,26071.25,26073.75,7350
